0,0,18.2
6,7,18.2
-4,5,18.2
0,2,18.2
3,3,18.2
-2,0,18.2
1,0,18.2
-1,0,18.2
1,0,18.2
1,0,18.2
2,11,18.2
-4,4,18.2
3,2,18.2
2,2,18.2
-3,1,18.2
2,1,18.2
-2,0,18.2
2,6,18.2
-5,5,18.2
0,3,18.2
2,1,18.2
-3,0,18.2
1,0,18.2
1,1,18.2
1,7,18.2
-2,1,18.2
2,2,18.2
0,1,18.2
0,1,18.2
0,1,18.2
1,5,18.2
-4,2,18.2
3,1,18.2
2,1,18.2
-2,0,18.2
4,3,18.2
-6,1,18.2
3,2,18.2
1,1,18.2
-3,-1,18.2
4,4,18.2
-5,0,18.2
0,1,18.2
4,2,18.2
-3,-1,18.2
6,3,18.2
-3,0,18.2
1,1,18.2
0,2,18.2
2,1,18.2
0,1,18.2
0,1,18.2
0,1,18.2
1,2,18.2
0,2,18.2
0,1,18.2
-1,1,18.2
0,4,18.2
1,0,18.2
-1,2,18.2
1,0,18.2
2,0,18.2
-2,1,18.2
2,0,18.2
0,1,18.2
2,1,18.2
1,0,18.2
1,0,18.2
0,1,18.2
4,1,18.2
-2,-1,18.2
1,0,18.2
3,1,18.2
1,-1,18.2
0,1,18.2
-1,2,18.2
0,1,18.2
4,-2,18.2
-2,-2,18.2
2,-1,18.2
0,2,18.2
1,1,18.2
0,0,18.2
1,0,18.2
1,0,18.2
-1,3,18.2
-2,0,18.2
1,0,18.2
2,0,18.2
-1,3,18.2
0,1,18.2
2,1,18.2
-2,0,18.2
2,3,18.2
-2,0,18.2
-1,2,18.2
0,0,18.2
-1,1,18.2
-1,0,18.2
0,1,18.2
0,0,18.2
-1,2,18.2
-3,-1,18.2
1,1,18.2
-1,0,18.2
-1,1,18.2
-3,1,18.2
1,1,18.2
0,0,18.2
-2,1,18.2
-2,1,18.2
-1,1,18.2
0,0,18.2
-3,2,18.2
-1,1,18.2
1,-1,18.2
-1,1,18.2
1,1,18.2
1,1,18.2
0,1,18.2
0,1,18.2
0,2,18.2
-1,0,18.2
1,0,18.2
0,1,18.2
0,0,18.2
-1,2,18.2
1,0,18.2
0,1,18.2
-3,2,18.2
-2,-1,18.2
2,1,18.2
-1,0,18.2
-1,1,18.2
-4,1,18.2
0,0,18.2
1,1,18.2
-3,0,18.2
0,0,18.2
-1,0,18.2
-1,0,18.2
0,0,18.2
-1,0,18.2
-1,1,18.2
0,0,18.2
0,1,18.2
-3,0,18.2
0,0,18.2
0,0,18.2
-1,1,18.2
-2,2,18.2
1,-1,18.2
-1,1,18.2
1,0,18.2
-1,0,18.2
-1,0,18.2
1,1,18.2
-1,1,18.2
-1,-1,18.2
1,1,18.2
0,1,18.2
0,0,18.2
1,0,18.2
-1,0,18.2
-1,1,18.2
2,2,18.2
-1,0,18.2
0,1,18.2
0,0,18.2
0,0,18.2
-1,0,18.2
0,0,18.2
0,0,18.2
-1,0,18.2
-2,2,18.2
1,1,18.2
0,0,18.2
0,0,18.2
-2,0,18.2
1,1,18.2
-1,0,18.2
-1,0,18.2
-2,1,18.2
1,0,18.2
1,0,18.2
0,1,18.2
-1,0,18.2
-1,1,18.2
1,1,18.2
1,0,18.2
1,0,18.2
-1,0,18.2
2,1,18.2
2,2,18.2
0,2,18.2
2,1,18.2
0,1,18.2
2,2,18.2
0,1,18.2
0,1,18.2
0,1,18.2
2,0,18.2
1,0,18.2
0,1,18.2
1,0,18.2
1,0,18.2
1,0,18.2
2,0,18.2
1,0,18.2
3,0,18.2
1,0,18.2
-1,0,18.2
2,0,18.2
1,0,18.2
1,0,18.2
1,0,18.2
0,0,18.2
1,0,18.2
0,0,18.2
-2,1,18.2
1,1,18.2
1,1,18.2
0,1,18.2
0,1,18.2
-1,0,18.2
2,1,18.2
0,1,18.2
0,0,18.2
-1,1,18.2
1,1,18.2
-2,0,18.2
2,2,18.2
-1,-1,18.2
